@relation timetagging

@attribute gloss string
@attribute class {past, present, future, neutral}



@data
' वह समय जब कोई जवान हो',neutral
' संकट या विपत्ति का समय',neutral
' बीते हुए समय में',past
' इस समय (विषय या कार्य परिवर्तन सूचक) ',present
' तीन दिन',neutral
' बहुत अधिक समय',neutral
' समय या क्रम की दृष्टि से पहले का या जो वर्तमान में न हो',past
' जैसी आशा या प्रत्याशा की गई हो',future
' भविष्य काल का या भविष्य काल में होनेवाला',future
' आज के बाद आनेवाले पहले दिन को ',future
' जिस पर इस समय की बातों या विशेषताओं की पूरी छाप हो',present
' * एक लंबा समय',neutral
' वह कार्य जो लापरवाही या ग़लत विचार के कारण होता है',past
' विद्यमान समय',present
' आने वाला काल या समय',future
' व्याकरण में वह काल जो वर्तमान समय की क्रियाओं या अवस्थाओं को बताता है',present
' किसी देखी, सुनी या बीती हुई बात को ध्यान में लाना',past
' आगे आने वाला या उससे संबंधित',future
' आज के बाद आने वाला पहला दिन',future
' इसी समय या इस वक़्त या इस क्षण',present
' बीता हुआ',past
' वह समय जब दिन का अंत और रात का आरंभ होने को होता है',neutral
' वर्तमान दिन में',present
' आगे चलकर होने वाली वह बात जो पहले से ही किसी ने कह दी हो',future
' पहले से ही लगाया जानेवाला अनुमान',future
'जीवन धारण करने की क्रिया या भाव',past
' आज से एक दिन पहले के बीते हुए दिन को ',past 
' हर एक दिन',neutral
' ऐसा समय जिसमें अतिवृष्टि या अनावृष्टि के कारण अन्न बहुत ही कठिनता से मिले या अन्न की कमी हो',neutral
' किसी एक नियत समय से दूसरे नियत समय तक का काल',neutral
' हर दिन किये जाने वाले धार्मिक कर्म',neutral
' बहुत कम समय के लिए',neutral
' आधुनिक या वर्तमान समय में',present
' व्याकरण में वह काल जो बीते समय की क्रियाओं या अवस्थाओं को बताता है',past
' बहुत पुराने समय में या पूर्व काल में',past
' अच्छा समय',neutral
' जो वर्तमान काल से संबंधित हो या वर्तमान काल का',present
' समय का उलटफेर',neutral
' जो चल रहा हो',present
' बीता हुआ समय या काल',past 
' अवश्य होने या होकर रहनेवाली बात या घटना',future
' आज से एक दिन पहले वाला दिन ',past
' निश्चित या उचित समय',neutral
' किसी बताए या संदर्भित समय के उपरांत के समय में या बाद में',future
' वह दिन जो वर्तमान समय को दर्शाता हो',present
' शैशव और युवा होने के बीच का समय',neutral
' जो इस समय हो या चल रहा हो',present
' व्याकरण में वह काल जो वर्तमान समय से आगे की क्रियाओं या अवस्थाओं को बताता है',future
' आठ दिन तक रहने वाला',neutral
' जिसकी इच्छा की गई हो',future
' समय पर होने या हो सकने वाला',neutral
' जो इस समय हो या चल रहा हो',present
' जो घट चुका हो',past
' समय पर नहीं',neutral
' विनाश या बंद होने का समय',neutral
' मुसलमानों में पति के मरने या तलाक़ देने के बाद का वह समय जिसमें विधवा या तलाक़शुदा स्त्री दूसरी शादी नहीं कर सकती',neutral
'गणना में अट्ठावन के स्थान पर आने वाला या सत्तावन के बाद का ',future
'जिसका स्वभाव अच्छा हो ',neutral
'जो पूरे विस्तार पर छाया हुआ न हो या जो सब परिस्थियों या स्थितियों में समान रूप से फैला हुआ न हो ',present
'कुछ निश्चित समय पर बार-बार होनेवाला ',neutral
'धारण न किया हुआ ',past
'बहुत दिनों तक बना रहनेवाला ',neutral
'हर तीन महीनों पर या हर तीसरे महीने होने वाला ',neutral
'इस समय से पहले का या जो पूर्व काल से संबंधित हो ',future
'जिसका तापमान नियत या निश्चित हो ',neutral
'जिसकी सूचना दी गई हो या जो सूचित किया हुआ हो ',present
'तीन दिन का बासी ',neutral
'अपने ठीक या निश्चित समय पर नियत रूप से होने वाला ',neutral
'जिसका परिवर्तन न हुआ हो या जिसमें परिवर्तन न हो या जिसमें बदलाव न हो ',past
'अधिक और बड़े रोएँ वाला ',neutral
'जो लगा हो या लगाया गया हो ',present
'बहुत दिनों तक बना रहने वाला ',neutral
'जिसे आशंका हो या जो आशंका से भरा हो ',present
'गणना में आठ के स्थान पर आने वाला ',future
'हर एक पल या हर समय ',neutral
'कुछ समय तक ऊपर लिए रहना ',neutral
'बहुत कम समय में बहुत अधिक उन्नति करना ',neutral
'+गणना में बाईस के स्थान पर आने वाला साल ',future
'गत परसों से पहले का दिन या आज से पहले का तीसरा दिन ',past
'जिस पर विचार हुआ या किया गया हो ',present
'अधिक समय तक पड़ा रहने के कारण किसी खाद्य पदार्थ का दुर्गंधयुक्त और कसैला होना ',neutral
'पहले देखी हुई बात से मन में उत्पन्न होने वाला संस्कार ',past
'जो हस्ताक्षर किया हुआ हो या जिस पर हस्ताक्षर किया गया हो ',present
'किसी एक नियत समय से दूसरे नियत समय तक के बीच का काल ',neutral
'भूना हुआ मटर या चना जो फूटा न हो ',present
'वह जो स्वार्थ से भरा हुआ हो या अपना मतलब निकालनेवाला हो ',past
'सूर्य निकलने से उसके अस्त होने तक का समय ',neutral
'गुरुवार के दिन पुष्य नक्षत्र के आने से होने वाला योग ',future
'मिट्टी का बना चौड़े मुँह का एक प्रकार का घड़े जैसा पात्र ',neutral
'दूध और अंडे आदि का मीठा मिश्रण जो पकाया, जमाया या उबाला गया हो ',present
'+ गणना में चालीस के स्थान पर आने वाला साल ',future
'चलते हुए या होने वाले काम को कुछ समय के लिए रोक देने की क्रिया ',past
'प्राचीन समय का एक बाजा ',neutral
'वह विधान जो दैव द्वारा नियत किया हुआ माना जाता है और अटल होता है ',present
'लक्षणा का वह भेद जिसमें शब्द का नया माना हुआ अर्थ चल पड़ा हो और वह केवल प्रसंगवश या प्रयोजनवश ही न लिया जाता हो ',present
'न्यायालय द्वारा ज़ारी किया गया आदेश ',present
'किसी वस्तु का टूटा-फूटा या बिगड़ा हुआ अंश ठीक करने का काम ',past
'एक प्राचीन यंत्र जिसमें नाँद में भरे हुए जल में एक छोटे छेदवाली कटोरी रहती थी और उस कटोरी में भरनेवाले जल के परिमाण से समय का ज्ञान होता था ',past
'खाना खाने का एक निश्चित समय ',neutral
'दीवार के ऊपरी भाग में प्रकाश आने के लिए बना छेद ',future
'परसों के बाद का दिन या आज से आनेवाला तीसरा दिन ',future
'तीलियों का बना मछली पकड़ने का एक उपकरण ',neutral
'एक रोग जिसमें रात के समय दिखाई नहीं पड़ता ',neutral
'तीन दिन का बासी भोजन ',neutral
'टिन का बना एक तरह का छाजन ',neutral
'मुलायम रोएँ का बना कपड़ा ',neutral
'बच्चों द्वारा किया गया अपराध ',present
'लोहे का बना एक औजार ',neutral
'तराज़ू की डंडी या तौल बराबर करने के लिए उठे हुए पलड़े पर रखा हुआ कोई बोझ ',past
'वह उपग्रह जिसका निर्माण मानव द्वारा किया गया हो ',present
'किसी अन्य उपकरण के समानान्तर लगा हुआ, कम प्रतिरोध क्षमता वाला विद्युत चालक यंत्र (कन्डक्टर) जो विद्युत धारा के कुछ अंश को अपने में से होकर जाने देने के लिए होता है ',future
'शास्त्रों के अनुसार किसी जीव द्वारा पूर्व जन्म में किया गया कार्य ',past
'निश्चित अवधि के बीच का समय ',neutral
'किसी व्यक्ति की कारावास से सशर्त रिहाई जिसमें वह सजा के शेष समय में रिहाई की शर्तों का अनुपालन करते हुए कारावास से बाहर रहता है ',future
'बाँस या धातु का बना एक लंबा पात्र ',neutral
'नियत समय पर या नियत रूप से कुछ देने की क्रिया या भाव ',past
'स्त्रियों का मासिक धर्म बंद होने का समय ',neutral
'चमड़े का बना एक कवच ',neutral
'यात्रा के समय उपयोग में आने वाला झोला ',future
'वह जिसने बंदूक धारण किया हुआ या जो बंदूक लिए हुए हो ',present
'*लकड़ी का बना शुषिर वाद्य ',neutral
'मैदे का बना एक पतला, मुलायम पकवान ',neutral
'आण्विक घड़ी के आधार पर समय मापने और पृथ्वी के चक्कर लगाने के आधार पर समय मापने में हुए अंतर को ख़त्म करने के लिए ग्रीनविच मीन टाइम में जोड़ा या घटाया जाने वाला एक सेकंड ',future
'वह महिला जिसने स्नातक किया हो ',present
'वह जिसने हथियार धारण किया हो ',present
'मिट्टी का बना एक छोटा गोलाकार बर्तन ',neutral
'बढ़ई के बरमें के समान अरणि के वृक्ष का बना हुआ आग उत्पन्न करने वाला एक काठ का यंत्र ',past
'सोने का बना सिक्का ',neutral
'तांबे या काँसे का बना एक प्रकार का छिछला बरतन ',neutral
'विवाह के समय वर के साथ कुछ लोगों की कन्यावालों के यहाँ प्रस्थान करने की क्रिया ',past
'+गणना में पचहत्तर के स्थान पर आने वाला वर्ष ',future
'हिम का बना शिवलिंग ',neutral
'विवाह के समय वर का कन्या की माँग में सिंदूर भरने की क्रिया ',past
'वह निश्चित या स्थिर किया हुआ मूल्य जिस पर कोई चीज़ बिकती है ',present
'रूस का एक बड़ा एशियाई क्षेत्र जहाँ एक लंबे समय तक ठंड पड़ती है ',neutral
'+गणना में पैंसठ के स्थान पर आने वाला वर्ष ',future
'दूसरे दिन होने वाला ',neutral
'जो स्वीकृत न हुआ हो या स्वीकार न किया गया हो ',present
'गणना में सत्तर के स्थान पर आने वाला ',future
'दिन चढ़े तक सोने वाला ',neutral
'दो अलग कालों या समय के बीच का ',neutral
'जिसका उच्चारण करते समय स्वरतंत्रियाँ झंकृत नहीं होती हों ',neutral
'बहुत बोलने वाला ',neutral
'निरंतर होने वाला ',neutral
'गणना में ग्यारह के स्थान पर आने वाला ',future
