@relation timetagging

@attribute gloss String
@attribute tense {past, present, future, neutral, atemporal}



@data
' वह समय जब सूर्य के विषुवत् रेखा पर पहुँचने से दिन और रात बराबर होते हैं',neutral
'किसी को आश्वस्त करने या आशा दिलाने की क्रिया',future
'कुछ पाने की इच्छा या कामना',future
' दिन-रात का चौबीसवाँ भाग या साठ मिनट का समय',neutral
' वह समय जब चंद्रमा पूर्वाषाढ़ा नक्षत्र में होता है',neutral
'जो किसी उद्देश्य या अवसर के लिए उपयुक्त नहीं हो',future
'आवश्यक होने की अवस्था या भाव',future
'जीता हुआ या जिसमें प्राण हो',present
' फलित ज्योतिष के अनुसार निकाला हुआ वह समय जब कोई शुभ काम किया जाए',future
'कुछ ऐसे उच्च सिद्धांत जिनको मनुष्य अपने जीवन में अपनाता है और उस पर ही चलना ठीक मानता है',present
' उचित समय से पहले होनेवाली मृत्यु या अनहोनी मौत',neutral
' एक व्रत विशेष जिसमें तीन दिन में केवल एक बार भोजन करने का विधान है',neutral
' वह समय जिसके बीच कोई विशेष बात हो',neutral
'वह व्यक्ति जिसे प्यास लगी हो',present
' भाँग, शराब आदि का नशा उतरने के समय या उतर जाने के बाद की वह स्थिति जिसमें शरीर आलस्य से भरा होता है, आँखें चढ़ी होती हैं, गला सूख रहा होता है तथा तबीयत कुछ बेचैन सी रहती है',neutral
' बीते हुए समय में',past
' जिसका समय बीत गया हो ',past
' तुरंत निकाला हुआ',present
'जो गम्य न हो या जो जाने योग्य न हो',present
' उपयुक्त समय पर',neutral
' वह समय जब चंद्रमा अश्लेषा नक्षत्र में होता है',neutral
'कोई काम करने के लिए मन में होनेवाला ख़याल',future
'किसी पूरे तथ्य, पदार्थ, कथन आदि के सब तत्वों आदि का मुख्य आशय',present
' उसी समय का',past
' सबेरे से दोपहर तक का समय या दिन का पहला आधा भाग',neutral
' निश्चित समय से आगे का समय नियत होना',future
'जिसका आयोजन किया गया हो',past
' वर्तमान दिन में',present
' जो चल रहा हो',present
' आगे आने वाले समय में',future
' किसी व्यक्ति विशेष या काम के लिए अशुभ माना जाने वाला दिन',neutral
'शीघ्रता से या बिना विलम्ब किए',present
'जैसा होना चाहिए वैसा',future
' समय के अनुसार नहीं या ग़लत समय पर',neutral
' समय, स्थान आदि के विचार से थोड़े ही अन्तर पर या कम दूरी पर',future
' दिन का वह समय जब छाया पश्चिम से पूर्व की ओर मुड़ती है',neutral
'जिसे बने, निकले या प्रस्तुत हुए थोड़े ही दिन हुए हों',present
' जो बीते हुए समय से संबंधित हो',past
' जिसे हुए या बने बहुत दिन हो गये हों',past
' आज से एक दिन पहले वाला दिन ',past
' * किसी काम, घटना आदि के लिए स्थान, समय आदि निर्धारित करना',future
' गत आधी रात के पहले का समय',past
' तीन दिन का बासी भोजन',past
' वह समय जब चंद्रमा अपने मार्ग में पड़नेवाले स्थिर तारों के सत्ताईस समूहों में से गुजरता है',neutral
' किसी के मरने पर बारहवें दिन होने वाला श्राद्ध',neutral
'जिसे हुए या बने बहुत दिन हो गये हों',past
' आषाढ़ के शुक्ल पक्ष की एकादशी से लेकर कार्तिक के शुक्ल पक्ष की एकादशी तक का समय',neutral
' प्रत्येक संक्रांति से बीस दिन पूर्व का समय',neutral
'कुछ पाने की बहुत अधिक इच्छा या चाह जो प्रायः अनुचित मानी जाती है',present
' जो इस समय हो या चल रहा हो',present
'रुका हुआ',present
' इस समय के बाद से',future
